Customer ID,Churned,Age,Average Bill over 6 months,Average Bill over 12 months,Number of defaults in last 12 bills,Payment Method,District,Area,Concesssion Card,INBOUNDCALLS,OUTBOUNDCALLS,Relationship (months),Occupier Status,Multiple Fuel,Bill Delivery Method,rpart,Category of latest complaint,NPS,Product,Multiple Products,Product_New,Adjusted Prob for 50% Cut-off (without Formulae),Customer Segment,Product Category,Bill Amount
1,Yes,64,6,123.015,2,Credit Card,N,Northern Territory,No,0,0,25,Regular,N,Mail,0.357142857,Network Coverage,-1,Internet Service,Yes,Mobile & Internet Service,0.838283338,Independents,Internet,169
2,No,29,18,26.4125,3,Cheque,S,South Australia,No,0,0,7,Regular,N,Internet,0.053805332,Call Drop,0,Fixed Line,No,Fixed Line,0.346654215,Small Business,ADSL,137
3,No,47,4,108.9525,0,Cheque,Q,Queensland,No,0,0,64,Regular,N,Mail,0.030710259,Data Charges,0,Mobile,No,Internet Service,0.228170627,Independents,Fixed line,252
4,No,75,7,106.0475,1,Cheque,S,South Australia,Yes,0,0,60,Regular,N,Mail,0.030710259,High Billed Amount,0,Internet Service,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,"Friends, Fun & Fashion",Internet,175
5,No,66,35.4075,32.4475,1,Cheque,V,Victoria,No,3,4,79,Regular,Y,Mail,0.144032922,Call Drop,0,Fixed Line,No,Internet Service,0.610902401,"Friends, Fun & Fashion",Internet,128
6,No,64,14.31,18.485,0,Cheque,V,Victoria,No,0,0,19,Regular,N,Mail,0.053805332,Call Drop,0,Mobile,Yes,Mobile & Internet Service,0.346654215,Principled Professional,Internet,303
7,No,56,11,155.18,3,Cheque,S,South Australia,No,0,0,38,Regular,N,Mail,0.030710259,Call Drop,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Principled Professional,Mobile,204
8,No,79,17,70.425,0,Credit Card,Q,Queensland,Yes,0,0,99,Regular,N,Internet,0.030710259,Data Charges,0,Mobile,No,Fixed Line,0.228170627,Small Business,ADSL,236
9,No,58,17,81.6725,1,Cheque,Q,Queensland,No,6,0,76,Regular,N,Internet,0.259259259,High Billed Amount,1,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.765572023,Family & Self Development,Mobile,167
10,No,49,9,93.9725,0,Cheque,N,Northern Territory,No,0,0,,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,Yes,"Internet Service,Fixed Line & PayTV",0.228170627,Entrepreneur,Bundle,182
11,No,91,10,43.7775,0,Direct Debit,S,South Australia,No,0,0,58,Regular,N,Mail,0.690826153,Internet Slowness,-1,Mobile,No,Fixed Line,0.954230245,Principled Professional,Cable,76
12,No,42,37.605,31.1275,0,Cheque,V,Victoria,No,0,0,33,Regular,Y,Internet,0.074102396,Call Drop,0,Mobile,No,Fixed Line,0.427509712,Entrepreneur,ADSL,1
13,No,,5,0,0,Cheque,V,Victoria,No,0,0,68,Occupier,N,Mail,0.074433657,Internet Slowness,0,Mobile,No,Internet Service,0.42868935,Family & Self Development,Internet,380
14,No,59,11,90.57,0,Cheque,Q,Queensland,No,0,0,71,Regular,N,Mail,0.030710259,Internet Slowness,0,Mobile,Yes,Internet Service & Fixed Line,0.228170627,Entrepreneur,ADSL,49
15,No,67,18.5375,17.9175,0,Cheque,V,Victoria,Yes,0,0,89,Regular,Y,Mail,0.030710259,Call Drop,0,Mobile,No,Internet Service,0.228170627,Independents,Bundle,139
